valid,probeX,cueOri,description,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,corr,fixFrames,probeFrames,participant,cueFrames,dateStr,
1,8,0,right,0,0,0,0,right,2.63186693192,1,60,120,1,60,2017_Jul_25_2002,
1,8,0,right,0,1,1,6,right,2.66581201553,1,60,120,1,60,2017_Jul_25_2002,
1,8,0,right,0,2,2,4,right,2.58921599388,1,60,120,1,60,2017_Jul_25_2002,
0,8,180,conflict,0,3,3,8,right,2.7329120636,1,60,120,1,60,2017_Jul_25_2002,
1,-8,180,left,0,4,4,1,right,2.51601195335,0,60,120,1,60,2017_Jul_25_2002,
1,8,0,right,0,5,5,2,right,2.76715397835,1,60,120,1,60,2017_Jul_25_2002,
1,-8,180,left,0,6,6,7,right,3.05814194679,0,60,120,1,60,2017_Jul_25_2002,
1,-8,180,left,0,7,7,3,right,2.63447403908,0,60,120,1,60,2017_Jul_25_2002,
0,-8,0,conflict,0,8,8,9,right,2.56060695648,0,60,120,1,60,2017_Jul_25_2002,
1,-8,180,left,0,9,9,5,right,2.51736998558,0,60,120,1,60,2017_Jul_25_2002,
